ID,CNNscore,CNNaffinity,smina_affinity,RTMScore,SCORCH,HYDE,CHEMPLP,rfscore_v2,vina_hydrophobic,vina_intra_hydrophobic,id,docking_tool,true_value,activity_class
CHEMBL521155_diffdock_1,0.06593057866421857,-0.4456724550794489,-0.27502639118266997,-0.24785261783565016,-0.014744278912609427,-0.6002502830872974,0.03191451009948721,-0.10505779561398017,0.6312408350446431,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_2,0.3749005423730839,-0.300255566826779,-0.06281487440234708,-0.5629952348997209,-0.05615112885885424,-0.5590617348109901,0.03213837818360026,-0.038329344060591644,0.632242332881749,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_3,0.11895113283513424,-0.40071043816368945,-0.2577403188880967,-0.4017710034226801,-0.00528336661035171,-0.5995568731836559,0.03317057776875,-0.10709481058184572,0.6904186207709879,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_4,0.3737961062445817,-0.2549849991308796,-0.06989224813602753,-0.39125269789287276,-0.038089387190907695,0.009257022213614534,0.04718858465737574,-0.07565577743750726,0.6775443591512817,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_5,-0.06082936735298011,-0.42362804591783687,-0.30320289757918883,-0.26166752345675864,-0.06548917217017355,0.28647916636728127,0.020174561501029503,-0.12886032423268517,0.7062480846788,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_6,-0.2892462095331289,-0.6291965193696172,-0.35910087830668475,-0.18720801812586704,-0.07052680079864844,-0.6001116011065691,0.0378087306989837,-0.010746361079937742,0.6997612008725148,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_7,-0.2127128528784457,-0.4897138336588041,-0.11879411085583243,-0.19088312460405224,0.1795115957610198,-0.15105934750830907,0.04257267269611755,-0.21389186994889678,0.6395828310620488,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_8,-0.20078856098588235,-0.49569971842954086,-0.1604317116721819,-0.4357168180354206,0.44908616187989553,-0.26283702397532505,0.04462266993010658,-0.1846588888298353,0.6852423650225379,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_9,-0.2737930083854109,-0.5858867917915239,-0.23963220949892985,-0.3128128657207899,0.5878052526493626,-0.264639889724793,0.047663666276699615,-0.24066269211080143,0.6991614780255908,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_10,-0.25428736371436056,-0.6706965967708146,-1.1822801575548525,-0.503732762179441,-0.12950391644908615,0.23308973910910305,0.01637445546469663,0.1734561410649596,0.4069606164406431,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL540701_diffdock_1,0.43380855226449644,0.02284799099436289,-0.3962764563565338,0.08808126621737615,-0.10591307018891107,0.26966302526163205,-0.5357606248634722,0.1123148527416769,-0.14956945226532,-0.031424556974402565,CHEMBL540701,diffdock,7.102373,0
CHEMBL540701_diffdock_2,0.23616052053063147,-0.062001925572191065,-0.4733466999002583,-0.16093336832495908,-0.0898172323759791,-0.15938026635200755,-0.3981346210160259,0.0728258522857399,-0.20850566693749095,-0.09850914931876645,CHEMBL540701,diffdock,7.102373,0
CHEMBL540701_diffdock_3,0.3527602155753952,-0.04507058824717653,-0.6216644016633048,0.08500258570874658,-0.12729227461219475,-0.08296649497071004,-0.555352728280568,0.09893150599105778,-0.1478928905510078,0.004877907712964262,CHEMBL540701,diffdock,7.102373,0
CHEMBL540701_diffdock_4,0.21061560198398935,-0.09052050104990927,-0.7882497448908768,0.09644304024972368,-0.12630932268468745,-0.1003017425617485,0.06708750402532987,0.06283205293612298,-0.21677217601709636,0.005659417936092835,CHEMBL540701,diffdock,7.102373,0
CHEMBL540701_diffdock_5,-0.07099154004398261,-0.19588750046693448,-0.8437284460722674,-0.01632637004937577,-0.04988481032099523,-0.03411792556682987,-0.5374086439826232,0.049290158243618556,-0.2710297454121148,-0.14625373586431756,CHEMBL540701,diffdock,7.102373,0
CHEMBL540701_diffdock_6,-0.1724174793813297,-0.23889214851399218,-1.1646016201037503,-0.10504155109274134,-0.12692366763937948,-0.4289780368878376,-0.6805037378323004,0.002463253427461679,-0.42033071111870274,-0.26575482754523494,CHEMBL540701,diffdock,7.102373,0
CHEMBL540701_diffdock_7,-0.3003024492193849,-0.30332448982077753,-0.3775126132586323,-0.1460006210003451,0.027031178006450628,-0.5230044198216302,0.039710697897097066,-0.22654079007408667,-0.07570927798711877,0.014198486937711459,CHEMBL540701,diffdock,7.102373,0
CHEMBL540701_diffdock_8,0.049171291098935574,-0.19903124705393194,-0.8188536306751198,-0.15853390975610987,-0.11893718322838273,-0.16894932302226076,-0.36434111389137114,0.028121423025683885,-0.40460903350662786,-0.014710436024969893,CHEMBL540701,diffdock,7.102373,0
CHEMBL540701_diffdock_9,0.24856960912960252,-0.10050327522676913,-0.8137981702564767,-0.011760596696274292,-0.11832283827369067,0.38664193821241744,0.01832546217141645,0.021141081503724866,-0.42595398205887147,-0.00544339829594779,CHEMBL540701,diffdock,7.102373,0
CHEMBL540701_diffdock_10,0.16825150137464104,-0.14678666077405483,-0.8850502329669377,-0.1562152392477706,-0.12237751497465826,0.2121487600191286,-0.5249427648384072,0.022913985257276826,-0.4359197459705787,-0.03323919017850755,CHEMBL540701,diffdock,7.102373,0
CHEMBL4435632_diffdock_1,-0.14825977881166708,-0.33390688421566633,-0.12087073635970276,-0.22766076543214656,0.14498540930732606,-0.35048403579561543,0.062113913577703024,-0.28455565857524384,0.26357925562384543,0.1541767825696705,CHEMBL4435632,diffdock,7.091515,0
CHEMBL4435632_diffdock_2,0.1235682769359402,-0.2307491082145863,-0.022535327619701492,-0.13790696028637514,0.047550299493165415,-0.284471412968941,0.06826973897934523,-0.2820425182294803,0.2558934971342324,0.15573087517945036,CHEMBL4435632,diffdock,7.091515,0
CHEMBL4435632_diffdock_3,0.33659994427409623,0.0032723736513832853,-0.029571802637966976,-0.3061759103187087,0.22140992167101828,0.22726509591851413,0.057297650616744376,-0.17179213811247007,0.0367890787963172,0.15818622054135087,CHEMBL4435632,diffdock,7.091515,0
CHEMBL4435632_diffdock_4,-0.10324720574777123,-0.28097191561830637,-0.11570991434969345,0.0033401290608038206,0.09780371678697589,-0.24134131696243735,0.05705026544482307,-0.32537177857616606,0.3528209990726931,0.1588426862536726,CHEMBL4435632,diffdock,7.091515,0
CHEMBL4435632_diffdock_5,0.2780904481584419,-0.20365950847293726,-0.03779000676453909,-0.21702437796866997,0.15899247427430505,-0.3466009403352228,0.06390886891658737,-0.3837443037587933,0.21437158183172364,0.1553022072747252,CHEMBL4435632,diffdock,7.091515,0
CHEMBL4435632_diffdock_6,-0.24153834802236784,-0.3464915127110812,-0.3787623263243497,-0.3115438545183533,0.1690677315312548,0.45973115456256763,-0.03621868393724655,-0.04206581670938376,0.004907665239681821,0.15199176529246938,CHEMBL4435632,diffdock,7.091515,0
CHEMBL4435632_diffdock_7,-0.14658791064539706,-0.3058457352255249,-0.09489869780927783,-0.3055336452524414,0.5505759483950238,-0.3330101062238487,0.06420255904996797,-0.23979801178533586,0.2282596463534434,0.15700370434498132,CHEMBL4435632,diffdock,7.091515,0
CHEMBL4435632_diffdock_8,-0.33406445019507136,-0.4400799725281142,-0.24003632130951705,-0.2921427099478909,0.4552296114268161,-0.5038663064811237,0.02858109974174197,-0.0674327294826659,0.3244152610737849,0.15623737384199943,CHEMBL4435632,diffdock,7.091515,0
