ID,CHEMPLP
CHEMBL4096014_smina_3,581.091
CHEMBL4096014_smina_4,545.238
CHEMBL4096014_smina_5,666.396
CHEMBL4096014_smina_6,475.321
CHEMBL4096014_smina_7,459.061
CHEMBL4096014_smina_8,578.032
CHEMBL4096014_smina_9,750.543
CHEMBL4096014_smina_10,402.469
CHEMBL4107879_smina_1,42.7449
CHEMBL4107879_smina_2,-77.1652
CHEMBL4107879_smina_3,-16.9304
CHEMBL4107879_smina_4,182.029
CHEMBL4107879_smina_5,156.528
CHEMBL4107879_smina_6,117.153
CHEMBL4107879_smina_7,130.895
CHEMBL4107879_smina_8,79.7671
CHEMBL4107879_smina_9,114.651
CHEMBL4107879_smina_10,125.084
CHEMBL4164936_smina_1,175.577
CHEMBL4164936_smina_2,160.906
CHEMBL4164936_smina_3,236.831
CHEMBL4164936_smina_4,193.3
CHEMBL4164936_smina_5,202.09
CHEMBL4164936_smina_6,198.023
CHEMBL4164936_smina_7,248.123
CHEMBL4164936_smina_8,227.971
CHEMBL4164936_smina_9,197.138
CHEMBL4164936_smina_10,191.935
CHEMBL419137_smina_1,-58.8129
CHEMBL419137_smina_2,-61.4641
CHEMBL419137_smina_3,-49.1649
CHEMBL419137_smina_4,-37.1111
CHEMBL419137_smina_5,-57.1782
CHEMBL419137_smina_6,-40.8887
CHEMBL419137_smina_7,-7.14378
CHEMBL419137_smina_8,-47.4773
CHEMBL419137_smina_9,38.5078
CHEMBL419137_smina_10,-54.0326
CHEMBL4214040_smina_1,-73.487
CHEMBL4214040_smina_2,-74.6161
CHEMBL4214040_smina_3,-58.5738
CHEMBL4214040_smina_4,-14.3709
CHEMBL4214040_smina_5,303.916
CHEMBL4214040_smina_6,-43.9507
CHEMBL4214040_smina_7,-63.7243
CHEMBL4214040_smina_8,402.932
CHEMBL4214040_smina_9,404.59
CHEMBL4214040_smina_10,391.729
CHEMBL4226702_smina_1,-51.5965
CHEMBL4226702_smina_2,-46.8754
CHEMBL4226702_smina_3,-42.3364
CHEMBL4226702_smina_4,-32.1305
CHEMBL4226702_smina_5,-35.8586
CHEMBL4226702_smina_6,548.336
CHEMBL4226702_smina_7,-54.4435
CHEMBL4226702_smina_8,-23.267
CHEMBL4226702_smina_9,-16.5834
CHEMBL4226702_smina_10,-23.8159
CHEMBL4228672_smina_1,-80.2119
CHEMBL4228672_smina_2,-63.4625
CHEMBL4228672_smina_3,-16.7052
CHEMBL4228672_smina_4,-33.216
CHEMBL4228672_smina_5,-38.5058
CHEMBL4228672_smina_6,36.6591
CHEMBL4228672_smina_7,122.73
CHEMBL4228672_smina_8,-28.8364
CHEMBL4228672_smina_9,180.351
CHEMBL4228672_smina_10,367.434
CHEMBL424853_smina_1,-68.5158
CHEMBL424853_smina_2,-19.5068
CHEMBL424853_smina_3,-60.9818
CHEMBL424853_smina_4,-14.8546
CHEMBL424853_smina_5,-18.5812
CHEMBL424853_smina_6,-18.8074
CHEMBL424853_smina_7,32.3323
CHEMBL424853_smina_8,206.226
CHEMBL424853_smina_9,26.3201
CHEMBL424853_smina_10,-42.0601
CHEMBL425402_smina_1,-64.7967
CHEMBL425402_smina_2,-70.4004
CHEMBL425402_smina_3,-14.3187
CHEMBL425402_smina_4,-64.0399
CHEMBL425402_smina_5,-59.0927
CHEMBL425402_smina_6,-71.9764
CHEMBL425402_smina_7,-66.8974
CHEMBL425402_smina_8,-31.7571
CHEMBL425402_smina_9,-60.1838
CHEMBL425402_smina_10,-52.5121
CHEMBL4284413_smina_1,-76.1907
CHEMBL4284413_smina_2,-61.0352
CHEMBL4284413_smina_3,-66.3701
CHEMBL4284413_smina_4,-58.006
CHEMBL4284413_smina_5,-73.5075
CHEMBL4284413_smina_6,-67.4727
CHEMBL4284413_smina_7,-80.1557
CHEMBL4284413_smina_8,-56.7559
CHEMBL4284413_smina_9,-80.0451
CHEMBL4284413_smina_10,-69.2651
CHEMBL4288374_smina_1,153.104
CHEMBL4288374_smina_2,203.802
CHEMBL4288374_smina_3,393.88
CHEMBL4288374_smina_4,226.051
CHEMBL4288374_smina_5,248.401
CHEMBL4288374_smina_6,164.763
CHEMBL4288374_smina_7,382.994
CHEMBL4288374_smina_8,163.044
CHEMBL4288374_smina_9,431.984
CHEMBL4288374_smina_10,423.865
CHEMBL4293134_smina_1,-58.6642
CHEMBL4293134_smina_2,88.0422
CHEMBL4293134_smina_3,-57.2399
CHEMBL4293134_smina_4,-48.1333
CHEMBL4293134_smina_5,36.4919
CHEMBL4293134_smina_6,197.428
CHEMBL4293134_smina_7,249.235
CHEMBL4293134_smina_8,-48.8582
CHEMBL4293134_smina_9,-67.8429
CHEMBL4293134_smina_10,-52.3658
CHEMBL4435632_smina_1,-15.2161
CHEMBL4435632_smina_2,-68.7336
CHEMBL4435632_smina_3,-55.544
CHEMBL4435632_smina_4,-58.27
CHEMBL4435632_smina_5,-62.048
CHEMBL4435632_smina_6,-67.4011
CHEMBL4435632_smina_7,-59.7212
CHEMBL4435632_smina_8,-23.6817
CHEMBL4435632_smina_9,-57.847
CHEMBL4435632_smina_10,-23.7019
CHEMBL4439338_smina_1,145.674
CHEMBL4439338_smina_2,140.172
CHEMBL4439338_smina_3,138.108
CHEMBL4439338_smina_4,131.624
CHEMBL4439338_smina_5,541.475
CHEMBL4439338_smina_6,57.045
CHEMBL4439338_smina_7,172.965
CHEMBL4439338_smina_8,92.4339
CHEMBL4439338_smina_9,81.16
CHEMBL4439338_smina_10,42.8772
CHEMBL4441404_smina_1,-64.7455
CHEMBL4441404_smina_2,46.2222
CHEMBL4441404_smina_3,-3.91303
CHEMBL4441404_smina_4,-57.4322
CHEMBL4441404_smina_5,44.905
CHEMBL4441404_smina_6,-59.8534
CHEMBL4441404_smina_7,-31.4807
CHEMBL4441404_smina_8,26.4506
CHEMBL4441404_smina_9,61.0527
CHEMBL4441404_smina_10,-41.0297
CHEMBL4443188_smina_1,-12.6777
CHEMBL4443188_smina_2,-14.0897
CHEMBL4443188_smina_3,2.28643
CHEMBL4443188_smina_4,1.40967
CHEMBL4443188_smina_5,-43.888
CHEMBL4443188_smina_6,168.722
CHEMBL4443188_smina_7,154.47
CHEMBL4443188_smina_8,15.5734
CHEMBL4443188_smina_9,206.455
CHEMBL4443188_smina_10,-29.6348
CHEMBL4454745_smina_1,46.1786
CHEMBL4454745_smina_2,-3.52905
CHEMBL4454745_smina_3,-48.7724
CHEMBL4454745_smina_4,8.75333
CHEMBL4454745_smina_5,-59.0617
CHEMBL4454745_smina_6,10.0947
CHEMBL4454745_smina_7,271.721
CHEMBL4454745_smina_8,245.04
CHEMBL4454745_smina_9,138.897
CHEMBL4454745_smina_10,336.359
CHEMBL4457733_smina_1,359.442
CHEMBL4457733_smina_2,48.0556
CHEMBL4457733_smina_3,-22.3606
CHEMBL4457733_smina_4,-25.5017
CHEMBL4457733_smina_5,-26.5734
CHEMBL4457733_smina_6,-1.91974
CHEMBL4457733_smina_7,352.086
CHEMBL4457733_smina_8,697.931
CHEMBL4457733_smina_9,347.017
CHEMBL4457733_smina_10,321.057
CHEMBL4462965_smina_1,463.488
CHEMBL4462965_smina_2,389.541
CHEMBL4462965_smina_3,474.659
CHEMBL4462965_smina_4,423.31
CHEMBL4462965_smina_5,522.161
CHEMBL4462965_smina_6,389.368
CHEMBL4462965_smina_7,394.349
CHEMBL4462965_smina_8,473.545
CHEMBL4462965_smina_9,466.867
CHEMBL4462965_smina_10,476.275
CHEMBL450319_smina_1,-44.5595
CHEMBL450319_smina_2,-46.387
CHEMBL450319_smina_3,-40.6002
CHEMBL450319_smina_4,-42.4278
CHEMBL450319_smina_5,-43.1086
CHEMBL450319_smina_6,-46.0067
CHEMBL450319_smina_7,-42.8547
CHEMBL450319_smina_8,-44.3547
CHEMBL450319_smina_9,-45.0721
CHEMBL450319_smina_10,-45.4301
CHEMBL452980_smina_1,-13.1422
CHEMBL452980_smina_2,22.7518
CHEMBL452980_smina_3,243.102
CHEMBL452980_smina_4,21.1647
CHEMBL452980_smina_5,486.544
CHEMBL452980_smina_6,3.96485
CHEMBL452980_smina_7,-3.88322
CHEMBL452980_smina_8,140.599
CHEMBL452980_smina_9,-6.47848
CHEMBL452980_smina_10,-17.2884
CHEMBL4549626_smina_1,263.157
CHEMBL4549626_smina_2,190.626
CHEMBL4549626_smina_3,368.281
CHEMBL4549626_smina_4,287.113
CHEMBL4549626_smina_5,185.458
CHEMBL4549626_smina_6,340.058
CHEMBL4549626_smina_7,350.117
CHEMBL4549626_smina_8,411.177
CHEMBL4549626_smina_9,370.992
CHEMBL4549626_smina_10,171.0
CHEMBL4569552_smina_1,-56.6296
CHEMBL4569552_smina_2,-24.5667
CHEMBL4569552_smina_3,-3.68434
CHEMBL4569552_smina_4,54.7741
CHEMBL4569552_smina_5,116.811
CHEMBL4569552_smina_6,101.991
CHEMBL4569552_smina_7,281.334
CHEMBL4569552_smina_8,-16.1456
CHEMBL4569552_smina_9,25.1579
CHEMBL4569552_smina_10,104.271
CHEMBL4583858_smina_1,221.722
CHEMBL4583858_smina_2,-4.60836
CHEMBL4583858_smina_3,355.098
CHEMBL4583858_smina_4,8.61138
CHEMBL4583858_smina_5,153.188
CHEMBL4583858_smina_6,0.508947
CHEMBL4583858_smina_7,-9.38212
CHEMBL4583858_smina_8,158.307
CHEMBL4583858_smina_9,164.749
CHEMBL4583858_smina_10,301.989
CHEMBL459_smina_1,-52.5184
CHEMBL459_smina_2,-50.5619
CHEMBL459_smina_3,-50.5749
CHEMBL459_smina_4,-51.4591
CHEMBL459_smina_5,-39.3584
CHEMBL459_smina_6,-50.4299
CHEMBL459_smina_7,-47.4104
CHEMBL459_smina_8,-47.8347
CHEMBL459_smina_9,-49.926
CHEMBL459_smina_10,-45.4746
CHEMBL460721_smina_1,65.9875
CHEMBL460721_smina_2,258.886
CHEMBL460721_smina_3,188.175
CHEMBL460721_smina_4,3.4365
CHEMBL460721_smina_5,34.3408
CHEMBL460721_smina_6,-58.3064
CHEMBL460721_smina_7,71.8071
CHEMBL460721_smina_8,116.806
CHEMBL460721_smina_9,382.798
CHEMBL460721_smina_10,348.838
CHEMBL461869_smina_1,68.0572
CHEMBL461869_smina_2,9.95588
CHEMBL461869_smina_3,-11.3083
CHEMBL461869_smina_4,128.439
CHEMBL461869_smina_5,69.0694
CHEMBL461869_smina_6,224.266
CHEMBL461869_smina_7,-25.2303
CHEMBL461869_smina_8,39.005
CHEMBL461869_smina_9,-23.9452
CHEMBL461869_smina_10,37.2028
CHEMBL461967_smina_1,85.18
CHEMBL461967_smina_2,105.793
CHEMBL461967_smina_3,-43.6707
CHEMBL461967_smina_4,-33.2278
CHEMBL461967_smina_5,-64.2634
CHEMBL461967_smina_6,-52.3656
CHEMBL461967_smina_7,-27.8955
CHEMBL461967_smina_8,-68.4072
CHEMBL461967_smina_9,-41.1491
CHEMBL461967_smina_10,36.1923
CHEMBL466174_smina_1,240.492
CHEMBL466174_smina_2,298.734
CHEMBL466174_smina_3,2.57535
CHEMBL466174_smina_4,-57.7065
CHEMBL466174_smina_5,-2.01379
CHEMBL466174_smina_6,27.1688
CHEMBL466174_smina_7,-36.4675
CHEMBL466174_smina_8,53.8406
CHEMBL466174_smina_9,-57.784
CHEMBL466174_smina_10,-25.1304
CHEMBL473543_smina_1,290.647
CHEMBL473543_smina_2,-48.1576
CHEMBL473543_smina_3,-5.70436
CHEMBL473543_smina_4,-41.0949
CHEMBL473543_smina_5,-4.62864
CHEMBL473543_smina_6,-13.8482
CHEMBL473543_smina_7,406.146
CHEMBL473543_smina_8,-77.9253
CHEMBL473543_smina_9,-30.799
CHEMBL473543_smina_10,-2.58108
CHEMBL4745521_smina_1,-28.0455
CHEMBL4745521_smina_2,113.121
CHEMBL4745521_smina_3,15.4134
CHEMBL4745521_smina_4,343.127
CHEMBL4745521_smina_5,-41.2423
CHEMBL4745521_smina_6,-7.98637
CHEMBL4745521_smina_7,241.903
CHEMBL4745521_smina_8,89.3294
CHEMBL4745521_smina_9,13.9233
CHEMBL4745521_smina_10,410.925
CHEMBL4749501_smina_1,-69.2923
CHEMBL4749501_smina_2,-64.8188
CHEMBL4749501_smina_3,-71.0414
CHEMBL4749501_smina_4,-67.1993
CHEMBL4749501_smina_5,-67.463
CHEMBL4749501_smina_6,-52.6222
CHEMBL4749501_smina_7,-63.9218
CHEMBL4749501_smina_8,-65.0874
CHEMBL4749501_smina_9,-53.1521
CHEMBL4749501_smina_10,-70.8498
CHEMBL4750734_smina_1,-41.8923
CHEMBL4750734_smina_2,-52.2617
CHEMBL4750734_smina_3,-27.9834
CHEMBL4750734_smina_4,-49.7276
CHEMBL4750734_smina_5,-50.7694
CHEMBL4750734_smina_6,-44.7673
CHEMBL4750734_smina_7,-56.1963
CHEMBL4750734_smina_8,-52.4358
CHEMBL4750734_smina_9,-40.8208
CHEMBL4750734_smina_10,111.689
CHEMBL4759072_smina_1,-10.1921
CHEMBL4759072_smina_2,320.611
CHEMBL4759072_smina_3,42.1449
CHEMBL4759072_smina_4,79.0343
CHEMBL4759072_smina_5,44.5963
CHEMBL4759072_smina_6,-43.5066
CHEMBL4759072_smina_7,-21.4967
CHEMBL4759072_smina_8,313.162
CHEMBL4759072_smina_9,30.7528
CHEMBL4759072_smina_10,66.0973
CHEMBL4759414_smina_1,47.2548
CHEMBL4759414_smina_2,337.802
CHEMBL4759414_smina_3,227.985
CHEMBL4759414_smina_4,-13.2186
CHEMBL4759414_smina_5,54.422
CHEMBL4759414_smina_6,292.189
CHEMBL4759414_smina_7,50.6618
CHEMBL4759414_smina_8,26.1509
CHEMBL4759414_smina_9,-8.83469
CHEMBL4759414_smina_10,109.556
CHEMBL4776056_smina_1,-24.0706
CHEMBL4776056_smina_2,-48.9246
CHEMBL4776056_smina_3,-68.1545
CHEMBL4776056_smina_4,82.0722
CHEMBL4776056_smina_5,-64.7845
CHEMBL4776056_smina_6,81.4994
CHEMBL4776056_smina_7,-21.5922
CHEMBL4776056_smina_8,-55.9999
CHEMBL4776056_smina_9,-65.2811
CHEMBL4776056_smina_10,-65.2167
CHEMBL4787951_smina_1,-43.5239
CHEMBL4787951_smina_2,-23.6871
CHEMBL4787951_smina_3,-33.8979
CHEMBL4787951_smina_4,-49.9482
CHEMBL4787951_smina_5,-41.5907
CHEMBL4787951_smina_6,-21.2557
CHEMBL4787951_smina_7,-8.50655
CHEMBL4787951_smina_8,290.092
CHEMBL4787951_smina_9,359.73
CHEMBL4787951_smina_10,36.0149
CHEMBL4794670_smina_1,254.998
CHEMBL4794670_smina_2,149.348
CHEMBL4794670_smina_3,159.699
CHEMBL4794670_smina_4,45.1184
CHEMBL4794670_smina_5,29.4699
CHEMBL4794670_smina_6,654.052
CHEMBL4794670_smina_7,312.142
CHEMBL4794670_smina_8,85.3367
CHEMBL4794670_smina_9,470.073
CHEMBL4794670_smina_10,60.1791
CHEMBL485065_smina_1,77.645
CHEMBL485065_smina_2,233.6
CHEMBL485065_smina_3,246.585
CHEMBL485065_smina_4,-13.5412
CHEMBL485065_smina_5,-16.7128
CHEMBL485065_smina_6,7.32569
CHEMBL485065_smina_7,91.6755
CHEMBL485065_smina_8,148.538
CHEMBL485065_smina_9,-40.7713
CHEMBL485065_smina_10,298.353
CHEMBL4858409_smina_1,397.649
CHEMBL4858409_smina_2,-36.8308
CHEMBL4858409_smina_3,297.326
CHEMBL4858409_smina_4,-33.3818
CHEMBL4858409_smina_5,-36.7684
CHEMBL4858409_smina_6,9.53798
CHEMBL4858409_smina_7,-31.0811
CHEMBL4858409_smina_8,-5.31075
CHEMBL4858409_smina_9,-39.7836
CHEMBL4858409_smina_10,-63.8159
CHEMBL503418_smina_1,-36.1555
CHEMBL503418_smina_2,-52.328
CHEMBL503418_smina_3,-54.9179
CHEMBL503418_smina_4,-41.1183
CHEMBL503418_smina_5,72.5126
CHEMBL503418_smina_6,336.91
CHEMBL503418_smina_7,-66.5224
CHEMBL503418_smina_8,-9.56106
CHEMBL503418_smina_9,-23.8927
CHEMBL503418_smina_10,38.4595
CHEMBL504173_smina_1,-51.2406
CHEMBL504173_smina_2,-53.9327
CHEMBL504173_smina_3,-56.3352
CHEMBL504173_smina_4,-55.5066
CHEMBL504173_smina_5,-56.8325
CHEMBL504173_smina_6,-54.6214
CHEMBL504173_smina_7,-63.5573
CHEMBL504173_smina_8,-56.0683
CHEMBL504173_smina_9,-58.3414
CHEMBL504173_smina_10,-55.6615
CHEMBL505626_smina_1,221.885
CHEMBL505626_smina_2,173.903
CHEMBL505626_smina_3,292.297
CHEMBL505626_smina_4,9.73694
CHEMBL505626_smina_5,81.964
CHEMBL505626_smina_6,166.757
CHEMBL505626_smina_7,-24.9515
CHEMBL505626_smina_8,277.563
CHEMBL505626_smina_9,774.951
CHEMBL505626_smina_10,122.508
CHEMBL5077776_smina_1,32.7158
CHEMBL5077776_smina_2,-25.4173
CHEMBL5077776_smina_3,-51.785
CHEMBL5077776_smina_4,-57.4054
CHEMBL5077776_smina_5,252.363
CHEMBL5077776_smina_6,192.735
CHEMBL5077776_smina_7,71.9291
CHEMBL5077776_smina_8,-49.2099
CHEMBL5077776_smina_9,71.5833
CHEMBL5077776_smina_10,-44.0923
CHEMBL5082074_smina_1,-26.1327
CHEMBL5082074_smina_2,196.186
CHEMBL5082074_smina_3,-11.8289
CHEMBL5082074_smina_4,-41.4109
CHEMBL5082074_smina_5,48.3793
CHEMBL5082074_smina_6,29.731
CHEMBL5082074_smina_7,359.355
CHEMBL5082074_smina_8,471.769
CHEMBL5082074_smina_9,123.387
CHEMBL5082074_smina_10,138.843
CHEMBL5088102_smina_1,136.62
CHEMBL5088102_smina_2,496.299
CHEMBL5088102_smina_3,206.367
CHEMBL5088102_smina_4,291.14
CHEMBL5088102_smina_5,289.394
CHEMBL5088102_smina_6,295.105
CHEMBL5088102_smina_7,450.448
CHEMBL5088102_smina_8,294.902
CHEMBL5088102_smina_9,7.93411
CHEMBL5088102_smina_10,379.829
CHEMBL512391_smina_1,-56.3804
CHEMBL512391_smina_2,-43.9528
CHEMBL512391_smina_3,-40.5998
CHEMBL512391_smina_4,-56.5967
CHEMBL512391_smina_5,-58.261
CHEMBL512391_smina_6,-55.1944
CHEMBL512391_smina_7,-52.9614
CHEMBL512391_smina_8,-55.2379
CHEMBL512391_smina_9,-50.9358
CHEMBL512391_smina_10,-51.1647
CHEMBL5169900_smina_1,79.8706
CHEMBL5169900_smina_2,28.2664
CHEMBL5169900_smina_3,85.5274
CHEMBL5169900_smina_4,106.17
CHEMBL5169900_smina_5,262.038
CHEMBL5169900_smina_6,40.9345
CHEMBL5169900_smina_7,58.9783
CHEMBL5169900_smina_8,53.7415
CHEMBL5169900_smina_9,125.072
CHEMBL5169900_smina_10,-31.8642
CHEMBL5173449_smina_1,-76.4335
CHEMBL5173449_smina_2,-76.8222
CHEMBL5173449_smina_3,-52.3607
CHEMBL5173449_smina_4,-68.4983
CHEMBL5173449_smina_5,-54.8278
CHEMBL5173449_smina_6,-64.0669
CHEMBL5173449_smina_7,-51.7838
CHEMBL5173449_smina_8,101.493
CHEMBL5173449_smina_9,-63.6902
CHEMBL5173449_smina_10,-61.1225
CHEMBL5174232_smina_1,253.839
CHEMBL5174232_smina_2,389.183
CHEMBL5174232_smina_3,-7.94055
CHEMBL5174232_smina_4,0.359688
CHEMBL5174232_smina_5,-7.79464
CHEMBL5174232_smina_6,310.681
CHEMBL5174232_smina_7,9.88431
CHEMBL5174232_smina_8,-12.4433
CHEMBL5174232_smina_9,-44.1649
CHEMBL5174232_smina_10,-29.347
CHEMBL5178754_smina_1,444.182
CHEMBL5178754_smina_2,364.248
CHEMBL5178754_smina_3,456.111
CHEMBL5178754_smina_4,387.551
CHEMBL5178754_smina_5,491.183
CHEMBL5178754_smina_6,438.181
CHEMBL5178754_smina_7,535.363
CHEMBL5178754_smina_8,430.948
CHEMBL5178754_smina_9,291.754
CHEMBL5178754_smina_10,468.115
CHEMBL5180325_smina_1,-69.1264
CHEMBL5180325_smina_2,-63.4485
CHEMBL5180325_smina_3,-62.0244
CHEMBL5180325_smina_4,-63.6651
CHEMBL5180325_smina_5,-65.4964
CHEMBL5180325_smina_6,-63.8736
CHEMBL5180325_smina_7,-63.0872
CHEMBL5180325_smina_8,-64.6073
CHEMBL5180325_smina_9,-60.1697
CHEMBL5180325_smina_10,-60.1755
CHEMBL51854_smina_1,-58.2545
CHEMBL51854_smina_2,-57.3036
CHEMBL51854_smina_3,-62.1479
CHEMBL51854_smina_4,-57.6621
CHEMBL51854_smina_5,-65.7279
CHEMBL51854_smina_6,-60.5743
CHEMBL51854_smina_7,-62.3063
CHEMBL51854_smina_8,-61.3451
CHEMBL51854_smina_9,-57.249
CHEMBL51854_smina_10,-53.6958
CHEMBL5188948_smina_1,202.211
CHEMBL5188948_smina_2,-6.46575
CHEMBL5188948_smina_3,198.791
CHEMBL5188948_smina_4,362.188
CHEMBL5188948_smina_5,286.362
CHEMBL5188948_smina_6,231.322
CHEMBL5188948_smina_7,293.749
CHEMBL5188948_smina_8,178.834
CHEMBL5188948_smina_9,349.443
CHEMBL5188948_smina_10,297.953
CHEMBL5192038_smina_1,70.2948
CHEMBL5192038_smina_2,22.5548
CHEMBL5192038_smina_3,25.3068
CHEMBL5192038_smina_4,42.3832
CHEMBL5192038_smina_5,68.684
CHEMBL5192038_smina_6,25.6722
CHEMBL5192038_smina_7,7.49445
CHEMBL5192038_smina_8,44.019
CHEMBL5192038_smina_9,29.4244
CHEMBL5192038_smina_10,143.203
CHEMBL5192318_smina_1,-47.7286
CHEMBL5192318_smina_2,-48.6504
CHEMBL5192318_smina_3,-52.8818
CHEMBL5192318_smina_4,-44.7011
CHEMBL5192318_smina_5,-48.9175
CHEMBL5192318_smina_6,-51.9276
CHEMBL5192318_smina_7,-46.5132
CHEMBL5192318_smina_8,-41.8305
CHEMBL5192318_smina_9,-50.5074
CHEMBL5192318_smina_10,-47.5668
CHEMBL5198812_smina_1,470.471
CHEMBL5198812_smina_2,477.296
CHEMBL5198812_smina_3,439.619
CHEMBL5198812_smina_4,385.988
CHEMBL5198812_smina_5,395.092
CHEMBL5198812_smina_6,405.387
CHEMBL5198812_smina_7,371.007
CHEMBL5198812_smina_8,374.54
CHEMBL5198812_smina_9,516.67
CHEMBL5198812_smina_10,551.43
CHEMBL5209100_smina_1,69.4325
CHEMBL5209100_smina_2,238.827
CHEMBL5209100_smina_3,81.4028
CHEMBL5209100_smina_4,295.8
CHEMBL5209100_smina_5,65.1253
CHEMBL5209100_smina_6,-27.6249
CHEMBL5209100_smina_7,324.847
CHEMBL5209100_smina_8,46.7385
CHEMBL5209100_smina_9,191.718
CHEMBL5209100_smina_10,81.876
CHEMBL521155_smina_1,-60.3413
CHEMBL521155_smina_2,-65.9125
CHEMBL521155_smina_3,-56.9352
CHEMBL521155_smina_4,-57.2759
CHEMBL521155_smina_5,-67.858
CHEMBL521155_smina_6,-55.3356
CHEMBL521155_smina_7,-59.5099
CHEMBL521155_smina_8,-66.7296
CHEMBL521155_smina_9,-57.7604
CHEMBL521155_smina_10,-49.9225
CHEMBL540701_smina_1,-47.0287
CHEMBL540701_smina_2,304.003
CHEMBL540701_smina_3,-43.1477
CHEMBL540701_smina_4,-61.009
CHEMBL540701_smina_5,335.141
CHEMBL540701_smina_6,327.143
CHEMBL540701_smina_7,338.62
CHEMBL540701_smina_8,-65.9507
CHEMBL540701_smina_9,-57.7999
CHEMBL540701_smina_10,-40.5973
CHEMBL55379_smina_1,-11.9949
CHEMBL55379_smina_2,-43.443
CHEMBL55379_smina_3,-66.8818
CHEMBL55379_smina_4,40.6239
CHEMBL55379_smina_5,-26.1932
CHEMBL55379_smina_6,-38.584
CHEMBL55379_smina_7,-51.2433
CHEMBL55379_smina_8,-30.1198
CHEMBL55379_smina_9,52.2215
CHEMBL55379_smina_10,7.01235
CHEMBL57347_smina_1,71.8473
CHEMBL57347_smina_2,-31.4693
CHEMBL57347_smina_3,51.4821
CHEMBL57347_smina_4,-36.4798
CHEMBL57347_smina_5,364.608
CHEMBL57347_smina_6,-58.1618
CHEMBL57347_smina_7,-13.6333
