ID,CNNscore
CHEMBL521155_diffdock_1,0.3620489836
CHEMBL521155_diffdock_2,0.6207889318
CHEMBL521155_diffdock_3,0.4064498544
CHEMBL521155_diffdock_4,0.6198640466
CHEMBL521155_diffdock_5,0.2558967173
CHEMBL521155_diffdock_6,0.0646141693
CHEMBL521155_diffdock_7,0.1287053078
CHEMBL521155_diffdock_8,0.1386910379
CHEMBL521155_diffdock_9,0.0775551051
CHEMBL521155_diffdock_10,0.0938896686
CHEMBL540701_diffdock_1,0.6701201200
CHEMBL540701_diffdock_2,0.5046042204
CHEMBL540701_diffdock_3,0.6022480130
CHEMBL540701_diffdock_4,0.4832122028
CHEMBL540701_diffdock_5,0.2473866343
CHEMBL540701_diffdock_6,0.1624497622
CHEMBL540701_diffdock_7,0.0553553700
CHEMBL540701_diffdock_8,0.3480142951
CHEMBL540701_diffdock_9,0.5149959326
CHEMBL540701_diffdock_10,0.4477353394
CHEMBL4435632_diffdock_1,0.1826800853
CHEMBL4435632_diffdock_2,0.4103163779
CHEMBL4435632_diffdock_3,0.5887149572
CHEMBL4435632_diffdock_4,0.2203748524
CHEMBL4435632_diffdock_5,0.5397174954
CHEMBL4435632_diffdock_6,0.1045660451
CHEMBL4435632_diffdock_7,0.1840801537
CHEMBL4435632_diffdock_8,0.0270821415
CHEMBL4435632_diffdock_9,0.0181670468
CHEMBL4435632_diffdock_10,0.1555154920
CHEMBL92174_diffdock_1,0.3319023550
CHEMBL92174_diffdock_2,0.3372446299
CHEMBL92174_diffdock_3,0.2580841482
CHEMBL92174_diffdock_4,0.1827649325
CHEMBL92174_diffdock_5,0.1505350322
CHEMBL92174_diffdock_6,0.0824006200
CHEMBL92174_diffdock_7,0.0647787824
CHEMBL92174_diffdock_8,0.0625046641
CHEMBL92174_diffdock_9,0.1005622596
CHEMBL92174_diffdock_10,0.0374397300
CHEMBL485065_diffdock_1,0.5339508653
CHEMBL485065_diffdock_2,0.5518141389
CHEMBL485065_diffdock_3,0.1366119683
